Agency,Stage_of_Rulemaking,Title,RIN,Link
GSA,Final Rule Stage,General Services Administration Property Management Regulations (GSPMR); GSPMR Case 2016-105-1; Public Availability of Agency Records and Informational Materials,3090-AJ74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3090-AJ74
GSA,Final Rule Stage,"Federal Permitting Improvement Steering Council (FPISC); FPISC Case 2018-001; Fees for Governance, Oversight, and Processing of Environmental Reviews and Authorizations",3090-AJ88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3090-AJ88
GSA,Final Rule Stage,"Federal Travel Regulation (FTR): FTR Case 2019-302, Taxes on Relocation Expense Reimbursement",3090-AK00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3090-AK00
IMLS,Proposed Rule Stage,Revision of Joint FOIA Regulations,3137-AA27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3137-AA27
IMLS,Proposed Rule Stage,Revision of Privacy Act Regulation,3137-AA28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3137-AA28
NARA,Proposed Rule Stage,Official Seals and Logos,3095-AB97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AB97
NARA,Proposed Rule Stage,Federal Records Management: Digitizing Permanent Records,3095-AB99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AB99
NARA,Proposed Rule Stage,Official Subscriptions to the Print Edition of the Federal Register,3095-AC00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AC00
NARA,Proposed Rule Stage,Records Management: Scheduling Records,3095-AC01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AC01
NARA,Proposed Rule Stage,National Industrial Security Program,3095-AC02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AC02
NARA,Final Rule Stage,Regulations Affecting Publishing Documents in The Federal Register Publications,3095-AB84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AB84
NARA,Final Rule Stage,Office of Government Information Services (OGIS),3095-AB88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3095-AB88
NCUA,Prerule Stage,Rate Ceiling for Federal Credit Union Loans,3133-AE94,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE94
NCUA,Proposed Rule Stage,Incentive-Based Compensation Arrangements,3133-AE48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE48
NCUA,Proposed Rule Stage,Investment and Deposit Activities,3133-AE63,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE63
NCUA,Proposed Rule Stage,Subordinated Debt; Regulatory Capital,3133-AE66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE66
NCUA,Proposed Rule Stage,Credit Union Service Organizations (CUSOs),3133-AE95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE95
NCUA,Proposed Rule Stage,"Purchase, Sale and Pledge of Loans",3133-AE96,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE96
NCUA,Proposed Rule Stage,Compensation in Connection With Loans to Members and Lines of Credit to Members,3133-AE97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE97
NCUA,Proposed Rule Stage,Real Estate Appraisals (Residential),3133-AE98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE98
NCUA,Proposed Rule Stage,Golden Parachute and Indemnification Payments,3133-AE99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE99
NCUA,Proposed Rule Stage,"IRPS 19-1, Guidance Regarding Prohibitions Imposed by Section 205(d) of the Federal Credit Union Act",3133-AF02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AF02
NCUA,Proposed Rule Stage,Transition to the Current Expected Credit Loss (CECL) Methodology,3133-AF03,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AF03
NCUA,Final Rule Stage,Real Estate Appraisals (Non-Residential/Rural),3133-AE79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE79
NCUA,Final Rule Stage,Payday Alternative Loans,3133-AE84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE84
NCUA,Final Rule Stage,Federal Credit Union Bylaws,3133-AE86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE86
NCUA,Final Rule Stage,Fidelity Bond and Insurance Coverage for Federal Credit Unions,3133-AE87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE87
NCUA,Final Rule Stage,Supervisory Committee Audits and Verifications,3133-AE91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AE91
NCUA,Final Rule Stage,Public Unit and Nonmember Shares,3133-AF00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AF00
NCUA,Final Rule Stage,Delay of Effective Date of the Risk-Based Capital Rules,3133-AF01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3133-AF01
NEA,Proposed Rule Stage,Revision of Joint FOIA Regulations,3135-AA26,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3135-AA26
NEA,Proposed Rule Stage,Revision of NEA Regulations Implementing Section 504 of the Rehabilitation Act of 1973,3135-AA30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3135-AA30
NEA,Proposed Rule Stage,Update of Privacy Act Regulations,3135-AA31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3135-AA31
NEA,Proposed Rule Stage,Rescission of Privacy Act Regulation Issued by National Foundation on the Arts and the Humanities,3135-AA34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3135-AA34
NEA,Final Rule Stage,NEA Civil Monetary Penalties Adjustment,3135-AA33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3135-AA33
NEH,Proposed Rule Stage,Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance,3136-AA34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3136-AA34
NEH,Proposed Rule Stage,Implementation of the Program Fraud Civil Remedies Act of 1986,3136-AA36,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3136-AA36
NEH,Proposed Rule Stage,Claims Collection Regulation,3136-AA38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3136-AA38
NEH,Proposed Rule Stage,Rescission of Privacy Act Regulation Issued by National Foundation on the Arts and the Humanities,3136-AA40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3136-AA40
NEH,Proposed Rule Stage,Revision of Joint FOIA Regulations,3136-AA41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3136-AA41
NEH,Final Rule Stage,NEH Civil Monetary Penalty Inflation Adjustments,3136-AA39,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3136-AA39
NIGC,Proposed Rule Stage,Definitions,3141-AA32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3141-AA32
NIGC,Proposed Rule Stage,Management Contracts,3141-AA58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3141-AA58
NIGC,Proposed Rule Stage,Buy Indian Goods and Services (BIGS),3141-AA62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3141-AA62
NLRB,Proposed Rule Stage,Access Rule,3142-AA14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3142-AA14
NLRB,Proposed Rule Stage,Student/Employee Status,3142-AA15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3142-AA15
NLRB,Proposed Rule Stage,"Blocking Charge, Voluntary Recognition, and 9(a)",3142-AA16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3142-AA16
NLRB,Final Rule Stage,Revision of Representation Case Rules (1),3142-AA12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3142-AA12
NLRB,Final Rule Stage,Joint-Employer Rulemaking,3142-AA13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3142-AA13
NLRB,Final Rule Stage,Revision of Representation Case Rules (2),3142-AA17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3142-AA17
NTSB,Proposed Rule Stage,"Technical Revisions to Parts 802, 806, 807, 830 and 840",3147-AA06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3147-AA06
NTSB,Proposed Rule Stage,Voluntarily Submitted Safety Information,3147-AA15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3147-AA15
NTSB,Proposed Rule Stage,"Reporting of Commercial Space Accidents and Incidents and Preservation of Wreckage, Evidence, and Records",3147-AA19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3147-AA19
NTSB,Final Rule Stage,Supplemental Ethics Regulations,3147-AA13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3147-AA13
NTSB,Final Rule Stage,Civil Monetary Penalty Annual Inflation Adjustment.,3147-AA21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3147-AA21
NRC,Prerule Stage,Alignment of Licensing Processes and Lessons Learned From New Reactor Licensing [NRC-2009-0196],3150-AI66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AI66
NRC,Prerule Stage,Items Containing Byproduct Material Incidental to Production [NRC-2015-0017],3150-AJ54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ54
NRC,Prerule Stage,Enhanced Weapons for Spent Fuel Storage Installations and Transportation--Section 161A Authority [NRC-2015-0018],3150-AJ55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ55
NRC,Prerule Stage,NuScale Small Modular Reactor Design Certification [NRC-2017-0029],3150-AJ98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ98
NRC,Proposed Rule Stage,Fitness-For-Duty Drug Testing Program Requirements [NRC-2009-0225],3150-AI67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AI67
NRC,Proposed Rule Stage,Low-Level Radioactive Waste Disposal [NRC-2011-0012],3150-AI92,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AI92
NRC,Proposed Rule Stage,Revision to the NRC's Acquisition Regulation (NRCAR) [NRC-2014-0033],3150-AJ36,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ36
NRC,Proposed Rule Stage,Enhanced Security for Special Nuclear Material [NRC-2014-0118],3150-AJ41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ41
NRC,Proposed Rule Stage,Financial Qualifications Requirements for Reactor Licensing [NRC-2014-0161],3150-AJ43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ43
NRC,Proposed Rule Stage,Updates and Clarifications on the Export of Deuterium [NRC-2014-0201],3150-AJ45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ45
NRC,Proposed Rule Stage,Regulatory Improvements for Production and Utilization Facilities Transitioning to Decommissioning [NRC-2015-0070],3150-AJ59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ59
NRC,Proposed Rule Stage,Cyber Security at Fuel Cycle Facilities [NRC-2015-0179],3150-AJ64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ64
NRC,Proposed Rule Stage,Emergency Preparedness Requirements for Small Modular Reactors and Other New Technologies [NRC-2015-0225],3150-AJ68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ68
NRC,Proposed Rule Stage,"Approval of American Society of Mechanical Engineers Code Cases, Revision 39 [NRC-2017-0025]",3150-AJ94,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ94
NRC,Proposed Rule Stage,2019 Edition of the American Society of Mechanical Engineers Boiler and Pressure Vessel Code [NRC-2017-0226],3150-AK09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK09
NRC,Proposed Rule Stage,Revision of Fee Schedules: Fee Recovery for FY 2020 [NRC-2017-0228],3150-AK10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK10
NRC,Proposed Rule Stage,Controlled Unclassified Information [NRC-2019-0060],3150-AK30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK30
NRC,Final Rule Stage,Performance-Based Emergency Core Cooling System Acceptance Criteria [NRC-2008-0332],3150-AH42,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AH42
NRC,Final Rule Stage,"Enhanced Weapons, Firearms Background Checks, and Security Event Notification [NRC-2011-0018]",3150-AI49,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AI49
NRC,Final Rule Stage,Non-Power Production or Utilization Facility License Renewal [NRC-2011-0087],3150-AI96,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AI96
NRC,Final Rule Stage,American Society of Mechanical Engineers 2015-2017 Code Editions Incorporation by Reference [NRC-2016-0082],3150-AJ74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ74
NRC,Final Rule Stage,Alternatives to the Use of Credit Ratings [NRC-2017-0021],3150-AJ92,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ92
NRC,Final Rule Stage,"Approval of American Society of Mechanical Engineers Code Cases, Revision 38 [NRC-2017-0024]",3150-AJ93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AJ93
NRC,Final Rule Stage,Reactor Vessel Material Surveillance Program Requirements (Appendix H) [NRC-2017-0151],3150-AK07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK07
NRC,Final Rule Stage,Adjustment of Civil Penalties for Inflation for FY 2020 [NRC-2018-0048],3150-AK11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK11
NRC,Final Rule Stage,Updates and Clarifications on the Export of Nuclear Material [NRC-2018-0294],3150-AK26,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK26
NRC,Final Rule Stage,Social Security Number Fraud Prevention [NRC-2018-0303],3150-AK27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK27
NRC,Final Rule Stage,Miscellaneous Corrections [NRC-2019-0126],3150-AK34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK34
NRC,Final Rule Stage,"List of Approved Spent Fuel Storage Casks: Holtec International Storage,Transport and Repository (HI-STAR) 100 Storage System, Certificate of Compliance No. 1008, Amendment No. 3 [NRC-2019-0126]",3150-AK35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3150-AK35
OGE,Proposed Rule Stage,Department of Defense Supplemental Standards of Ethical Conduct Regulations Issued Jointly With the Concurrence of the Office of Government Ethics,3209-AA46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA46
OGE,Proposed Rule Stage,Office of Special Counsel Supplemental Standards of Ethical Conduct Regulations Issued Jointly With the Concurrence of the Office of Government Ethics,3209-AA53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA53
OGE,Proposed Rule Stage,United States Postal Service Supplemental Standards of Ethical Conduct Regulations Issued Jointly With the Concurrence of the Office of Government Ethics,3209-AA51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA51
OGE,Proposed Rule Stage,Department of Agriculture Supplemental Standards of Ethical Conduct Issued Jointly With the Concurrence of the Office of Government Ethics,3209-AA48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA48
OGE,Proposed Rule Stage,National Transportation Safety Board Supplemental Standards of Ethical Conduct Regulations Issued Jointly with the Concurrence of the Office of Government Ethics,3209-AA54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA54
OGE,Proposed Rule Stage,Modernization Updates to the Standards of Ethical Conduct for Employees of the Executive Branch,3209-AA43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA43
OGE,Proposed Rule Stage,Legal Expense Fund Regulation,3209-AA50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA50
OGE,Proposed Rule Stage,2019 Update to Post-Employment Agency Component Designations,3209-AA44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA44
OGE,Final Rule Stage,2020 Increase of Gifts and Travel Reimbursements Reporting Thresholds for Financial Disclosure Reports and Nonsponsor Widely Attended Gatherings Gift Exception Ceiling,3209-AA52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA52
OGE,Final Rule Stage,2020 Civil Monetary Penalties Inflation Adjustments for Ethics in Government Act Violations,3209-AA49,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3209-AA49
OMB,Prerule Stage,Cost Accounting Standards: CAS 413 Pension Adjustments for Extraordinary Events,0348-AB75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB75
OMB,Prerule Stage,Adopting Commercial Standards and Accounting Practices,0348-AB78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB78
OMB,Proposed Rule Stage,2 CFR Changes to Address Statutory and/or Regulatory Needs,0348-AB76,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB76
OMB,Proposed Rule Stage,Presumption of Accessibility,0348-AB79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB79
OMB,Proposed Rule Stage,Expanding Secure Access to CIPSEA Data Assets,0348-AB80,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB80
OMB,Proposed Rule Stage,Responsibilities of Statistical Agencies,0348-AB81,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB81
OMB,Final Rule Stage,Federal Acquisition Security Council Implementing Regulation,0348-AB83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0348-AB83
OPM,Proposed Rule Stage,Administrative Law Judges,3206-AN72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN72
OPM,Proposed Rule Stage,Freedom of Information Act (FOIA) Regulations,3206-AK53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AK53
OPM,Proposed Rule Stage,Recruitment and Selection,3206-AN80,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN80
OPM,Proposed Rule Stage,Career and Career-Conditional Employment by Reinstatement,3206-AN77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN77
OPM,Proposed Rule Stage,Appointment of Current and Former Land Management Employees,3206-AN28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN28
OPM,Proposed Rule Stage,Noncompetitive Appointment of Certain Military Spouses,3206-AM76,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AM76
OPM,Proposed Rule Stage,Hiring Authority for College Graduates,3206-AN79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN79
OPM,Proposed Rule Stage,Direct Hire Authority,3206-AN73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN73
OPM,Proposed Rule Stage,"Seasonal Employment (5 CFR 340, subpart D)",3206-AN84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN84
OPM,Proposed Rule Stage,"Suitability, Fitness and Credentialing Vetting",3206-AN69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN69
OPM,Proposed Rule Stage,Designating National Security Positions,3206-AN68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN68
OPM,Proposed Rule Stage,Personnel Investigations,3206-AN70,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN70
OPM,Proposed Rule Stage,Status of Pending Disability Application After Death of Applicant,3206-AN75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN75
OPM,Proposed Rule Stage,Federal Employees' Retirement System Annuity Supplement,3206-AN74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN74
OPM,Proposed Rule Stage,Federal Employees Health Benefits Program: Data Reporting,3206-AN66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN66
OPM,Proposed Rule Stage,Federal Employees Health Benefits Program: Centralized Enrollment; Opportunities to Enroll and Change Enrollment,3206-AN67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN67
OPM,Proposed Rule Stage,Payment of Reasonable Attorney Fees,3206-AN83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN83
OPM,Proposed Rule Stage,Hiring Authority for Post-Secondary Students,3206-AN86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN86
OPM,Proposed Rule Stage,Prevailing Rate Systems; Redefinition of Certain Appropriated Fund Federal Wage System Wage Areas,3206-AN87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN87
OPM,Proposed Rule Stage,Special Occupational Pay Systems,3206-AN88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN88
OPM,Proposed Rule Stage,Administrative Error and Interest on Post-1956 Military Service Deposits or Deposits for Volunteer Service for Civil Service Retirement System and Federal Employees' Retirement System Employees,3206-AN89,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN89
OPM,Proposed Rule Stage,High-3 Calculation for Privatized Senate Restaurant Civil Service Retirement System and Federal Employees' Retirement System Employees and Annuitants,3206-AN90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN90
OPM,Proposed Rule Stage,FEDVIP: Extension of Eligibility to Certain Employees on Temporary Appointments or Seasonal and Intermittent Schedules; QLEs for Enrollees to Cancel Coverage and Decrease Enrollment Type,3206-AN91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN91
OPM,Proposed Rule Stage,Temporary and Term Employment,3206-AN92,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN92
OPM,Final Rule Stage,Program Fraud Civil Remedies: Civil Monetary Penalty Inflation Adjustment,3206-AN39,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN39
OPM,Final Rule Stage,Privacy Procedures for Personnel Records,3206-AN27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN27
OPM,Final Rule Stage,"Probation on Initial Appointment to a Competitive Position: Performance-Based Reduction In Grade, Removal Actions and Adverse Actions",3206-AN60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN60
OPM,Final Rule Stage,"Administrative Leave, Investigative Leave, and Notice Leave",3206-AN59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN59
OPM,Final Rule Stage,Federal Employees' Retirement System; Present Value Conversion Factors for Spouses of Deceased Separated Employees,3206-AN82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN82
OPM,Final Rule Stage,Federal Employees Health Benefits Acquisition Matrix Regulations Self Plus One and Contract Matrix Update,3206-AN56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN56
OPM,Final Rule Stage,Federal Employees' Group Life Insurance: Clarifying Annual Rates of Pay and Amending the Employment Status of Judges of the United States Court of Appeals for Veterans Claims,3206-AN52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN52
OPM,Final Rule Stage,Federal Employees Health Benefits Program Regulations: Revised Guaranteed Issue Conversion Requirements,3206-AN51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN51
OPM,Final Rule Stage,Prevailing Rate Systems; Redefinition of Certain Nonappropriated Fund Federal Wage System Wage Areas,3206-AN85,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3206-AN85
PEACE,Proposed Rule Stage,Volunteer Discrimination Complaint Procedure,0420-AA27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0420-AA27
PEACE,Proposed Rule Stage,Regulation Implementing Section 504 of the Rehabilitation Act of 1973,0420-AA28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0420-AA28
PEACE,Proposed Rule Stage,Implementation of the Privacy Act of 1974,0420-AA30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0420-AA30
PEACE,Proposed Rule Stage,Procedures for Disclosure of Information Under the Freedom of Information Act,0420-AA31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0420-AA31
PEACE,Proposed Rule Stage,Eligibility and Standards for Peace Corps Volunteer Service,0420-AA32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0420-AA32
PBGC,Proposed Rule Stage,Valuation Assumptions and Methods: Interest and Mortality Assumptions for Asset Allocation in Single-Employer Plans and Mass Withdrawal Liability Determination in Multiemployer Plans,1212-AA55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AA55
PBGC,Proposed Rule Stage,Benefit Payments,1212-AB27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB27
PBGC,Proposed Rule Stage,Administrative Review,1212-AB35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB35
PBGC,Proposed Rule Stage,Multiemployer Plan Guaranteed Benefits,1212-AB37,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB37
PBGC,Proposed Rule Stage,PBGC-Approved Arbitration Procedures--Multiemployer Plans,1212-AB39,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB39
PBGC,Proposed Rule Stage,Benefits Payable in Terminated Single-Employer Plans: Assumptions for Determining Lump Sum Amounts,1212-AB41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB41
PBGC,Proposed Rule Stage,Examination and Copying of Pension Benefit Guaranty Corporation Records,1212-AB44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB44
PBGC,Proposed Rule Stage,Filing and Issuance Rules,1212-AB46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB46
PBGC,Proposed Rule Stage,Improvements to Rules on Recoupment of Benefit Overpayments,1212-AB47,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB47
